USAF,Site Name,State,Latitude,Longitude,TZ,Elev,Class,Pool,Latitude Difference,Longitude Difference,Product
744910,CHICOPEE FALLS WESTO,MA,42.2,-72.533,-5,75,II,12,8.7058,39.3931,342.94845
744915,WESTFIELD BARNES MUNI AP,MA,42.15,-72.717,-5,83,II,12,8.6558,39.2091,339.3861278
745090,MOUNTAIN VIEW MOFFETT FLD NAS,CA,37.4,-122.05,-8,12,III,10,3.9058,10.1239,39.54192862
745160,TRAVIS FIELD AFB,CA,38.267,-121.933,-8,18,II,12,4.7728,10.0069,47.76093232
745700,DAYTON WRIGHT PATTERSON AFB,OH,39.833,-84.05,-5,250,II,12,6.3388,27.8761,176.7010227
745940,ANDREWS AFB,MD,38.817,-76.867,-5,86,II,12,5.3228,35.0591,186.6125775
745966,CAPE MAY CO,NJ,39,-74.917,-5,7,III,12,5.5058,37.0091,203.7647028
745980,LANGLEY AFB,VA,37.083,-76.35,-5,3,II,12,3.5888,35.5761,127.6755077
745985,MARTINSVILLE,VA,36.633,-80.017,-5,287,III,10,3.1388,31.9091,100.1562831
746120,CHINA LAKE NAF,CA,35.683,-117.683,-8,677,II,12,2.1888,5.7569,12.60070272
746710,FORT CAMPBELL AAF,KY,36.667,-87.483,-6,173,II,12,3.1728,24.4431,77.55306768
746716,BOWLING GREEN WARREN CO AP,KY,36.983,-86.433,-6,161,II,12,3.4888,25.4931,88.94032728
746930,FORT BRAGG SIMMONS AAF,NC,35.133,-78.933,-5,93,II,12,1.6388,32.9931,54.06909228
746943,ELIZABETH CITY COAST GUARD AI [NREL],NC,36.3,-76.25,-5,4,III,10,2.8058,35.6761,100.1000014
747020,LEMOORE REEVES NAS,CA,36.333,-119.95,-8,73,II,12,2.8388,8.0239,22.77824732
747185,IMPERIAL,CA,32.833,-115.583,-8,-17,II,12,0.6612,3.6569,2.41794228
747187,PALM SPRINGS THERMAL AP,CA,33.633,-116.167,-8,-34,II,12,0.1388,4.2409,0.58863692
747188,BLYTHE RIVERSIDE CO ARPT,CA,33.617,-114.717,-8,119,II,12,0.1228,2.7909,0.34272252
747320,HOLLOMAN AFB,NM,32.85,-106.1,-7,1248,II,12,0.6442,5.8261,3.75317362
747540,ENGLAND AFB,LA,31.317,-92.55,-6,27,III,11,2.1772,19.3761,42.18564492
747685,GULFPORT BILOXI INT,MS,30.4,-89.067,-6,9,II,12,3.0942,22.8591,70.73062722
747686,KEESLER AFB,MS,30.417,-88.917,-6,8,II,12,3.0772,23.0091,70.80360252
747750,TYNDALL AFB,FL,30.067,-85.583,-6,7,II,12,3.4272,26.3431,90.28307232
747770,VALPARAISO HURLBURT,FL,30.417,-86.683,-6,12,II,12,3.0772,25.2431,77.67806732
747804,HUNTER AAF,GA,32,-81.15,-5,13,II,12,1.4942,30.7761,45.98564862
747810,MOODY AFB/VALDOSTA,GA,30.967,-83.2,-5,71,II,12,2.5272,28.7261,72.59659992
747880,MACDILL AFB,FL,27.85,-82.517,-5,8,II,12,5.6442,29.4091,165.9908422
747900,SUMTER SHAW AFB,SC,33.967,-80.467,-5,74,II,12,0.4728,31.4591,14.87386248
747910,MYRTLE BEACH AFB,SC,33.683,-78.933,-5,8,II,12,0.1888,32.9931,6.22909728
747915,NORTH MYRTLE BEACH GRAND STRA,SC,33.817,-78.717,-5,10,II,12,0.3228,33.2091,10.71989748
747946,NASA SHUTTLE FCLTY,FL,28.617,-80.717,-5,3,III,12,4.8772,31.2091,152.2130225
785140,AQUADILLA/BORINQUEN,PR,18.5,-67.133,-4,72,II,12,14.9942,44.7931,671.6367
